Transaction Date,Amount,Province,City,Description,Category
2022-10-28,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-10-28,-13.39,BC,Vancouver,SQ *OBANHMI VANCOUVER,
2022-10-24,-63.95,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-10-23,-146.62,BC,VANCOUVER,FABLE KITCHENS,
2022-10-23,-26.18,ON,WWW.AMAZON.CA,AMZN Mktp CA*H869W8QY1,
2022-10-22,-52.5,BC,VANCOUVER,PANDORA'S BOX REHEARSA,
2022-10-22,-45.36,BC,VANCOUVER,AJIYA SUSHI,Eating Out
2022-10-20,-18.29,BC,VANCOUVER,MCDONALD'S #29138  Q04,
2022-10-18,-9.13,BC,VANCOUVER,SAVE ON FOODS #937,
2022-10-17,-30.4,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-10-17,-58.21,BC,VANCOUVER,ALMA GUITAR SHOP,Music/Band
2022-10-17,183.86,OU,MENT - THANK Y,PAY,
2022-10-14,-49.56,BC,VANCOUVER,FABLE KITCHENS,
2022-10-14,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-10-12,-29.98,BC,VANCOUVER,FATBURGER WEST BROADWA,
2022-10-11,-17.06,BC,VANCOUVER,PEPPER LUNCH,
2022-10-11,201.74,OU,MENT - THANK Y,PAY,
2022-10-10,-30.45,BC,VANCOUVER,MARKETPLACE IGA 024,Groceries
2022-10-09,-31.87,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-10-08,-8.91,BC,VANCOUVER,MCDONALD'S #25022  Q04,
2022-10-07,-5.21,BC,VANCOUVER,A&W STORE# 0751,
2022-10-07,-16.28,BC,VANCOUVER,AJIYA SUSHI,Eating Out
2022-10-07,-17.35,BC,VANCOUVER,THE CORNER KITCHEN,
2022-10-07,-11.65,BC,VANCOUVER,MCDONALD'S #19170  Q04,
2022-10-06,-15.1,BC,VANCOUVER,SUSHI CALIFORNIA (BROA,Eating Out
2022-10-05,-15.67,BC,VANCOUVER,FATBURGER WEST BROADWA,
2022-10-04,-16.17,BC,VANCOUVER,EMELLES CATERING,
2022-10-03,-65.62,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-10-03,-13.23,BC,VANCOUVER,PAPAYA HUT RESTAURANT,Eating Out
2022-10-03,49.89,OU,MENT - THANK Y,PAY,
2022-10-01,-18.1,BC,VANCOUVER,DENNY'S 03-104 VANCOUV,
2022-10-01,-18.06,BC,VANCOUVER,RYUU JAPANESE KITCHEN,
2022-09-30,-15.75,BC,VANCOUVER,GOLDS GYM BROADWAY,
2022-09-30,-19.16,BC,NORTH VANCOUV,DEX BURGER BAR AND VIN,
2022-09-30,-9.98,BC,VANCOUVER,FITNESS WORLD KITSILAN,Gym/Fitness
2022-09-30,-10.0,BC,North Vancouv,SQ *HARVEST PROJECT,
2022-09-28,-25.93,BC,VANCOUVER,JUSTIN'S NF #3807,
2022-09-28,130.0,OU,MENT - THANK Y,PAY,
2022-09-26,-23.96,BC,VANCOUVER,SHOPPERS DRUG MART #22,Groceries
2022-09-25,-13.52,EU,EATTLE       D,STEAM PURCHASE         S,Eating Out
2022-09-26,129.48,OU,MENT - THANK Y,PAY,
